pipeline,readout,contrast,bird_id,panel_count,mean_contribution,sign
birdnet,linear,B_minus_C,tw41893,12,0.70343173024116057,positive
birdnet,linear,B_minus_C,ty68001,12,0.92471456418824838,positive
birdnet,linear,B_minus_C,ty68090,12,0.91483918128654984,positive
birdnet,linear,B_minus_C,ty68169,12,0.68444730326881364,positive
birdnet,linear,B_minus_C,ty68197,12,0.46538785689714485,positive
birdnet,linear,B_minus_C,ty68250,12,0.89906149527860058,positive
birdnet,linear,B_minus_C,ty68256,12,0.77030403336230691,positive
birdnet,linear,B_minus_C,ty68266,12,0.74759856497606048,positive
birdnet,linear,B_minus_C,ty68269,12,0.83946078431372551,positive
birdnet,linear,B_minus_C,ty68288,12,0.87987196340524509,positive
birdnet,linear,B_minus_C,ty68290,12,0.95283937553674392,positive
birdnet,linear,B_minus_C,ty68302,12,0.59555142169906761,positive
birdnet,linear,B_minus_C,ty68314,12,0.44493348715538139,positive
birdnet,linear,B_minus_C,ty68356,12,0.78229186272664519,positive
birdnet,linear,B_minus_C,ty68365,12,0.75264423685476312,positive
birdnet,linear,B_minus_C,ty68368,12,0.43954430390357163,positive
birdnet,linear,B_minus_C,ty68410,12,0.88574535368013629,positive
birdnet,linear,B_minus_C,ty68701,12,0.56929328689331804,positive
birdnet,linear,B_minus_C,ty68797,12,0.8479407166907168,positive
birdnet,linear,B_minus_C,ty68817,12,0.14735107227367292,positive
birdnet,linear,B_minus_C,ty69095,12,0.87082362082362075,positive
birdnet,linear,B_minus_C,ty69215,12,0.40911153559656155,positive
birdnet,linear,B_minus_C,ty69216,12,0.49197161065537248,positive
birdnet,linear,B_minus_C,ty69429,12,0.65266741199403733,positive
birdnet,linear,B_minus_C,ty69450,12,0.5798589238295121,positive
birdnet,linear,B_minus_C,ty69456,12,0.79213633864203981,positive
birdnet,linear,B_minus_C,ty69457,12,0.61282532568251946,positive
birdnet,linear,B_minus_C,ty69479,12,0.23856942531285538,positive
birdnet,linear,B_minus_C,ty69494,12,0.34949803751056768,positive
birdnet,linear,B_minus_C,ty69500,12,0.77843915343915349,positive
birdnet,linear,B_minus_C,ty70009,12,0.39433156755525173,positive
birdnet,linear,B_minus_C,ty70013,12,0.57981056945195231,positive
birdnet,linear,B_minus_C,ty70023,12,0.64826593303115498,positive
birdnet,linear,B_minus_C,ty70082,12,0.97001066566283944,positive
birdnet,linear,B_minus_C,ty70093,12,0.5320134118817208,positive
birdnet,linear,B_minus_C,ty70118,12,0.50770877514298574,positive
birdnet,linear,B_minus_C,ty70233,12,0.63240434291454828,positive
birdnet,linear,B_minus_C,ty70249,12,0.50599007682565367,positive
birdnet,linear,B_minus_C,ty70291,12,0.7033041468546436,positive
birdnet,linear,B_minus_C,ty70575,12,0.85907002354370776,positive
birdnet,linear,B_minus_C,ty70701,12,0,zero
birdnet,linear,B_minus_C,ty70791,12,0.67720687156344717,positive
birdnet,linear,B_minus_C,ty70988,12,0.80995544443226597,positive
birdnet,linear,B_minus_C,vb55885,12,0.84906367257625837,positive
birdnet,linear,B_minus_C,vs83969,12,0.88095619693916893,positive
birdnet,linear,B_minus_C,vs84180,12,0.42510274772160855,positive
birdnet,linear,B_minus_C,vs84238,12,0.84928539481624787,positive
birdnet,linear,B_minus_C,vs84262,12,0.82732900221935302,positive
birdnet,linear,B_minus_C,vz29416,12,0.4898834498834499,positive
birdnet,linear,B_minus_C,vz29510,12,0.93820655645934969,positive
birdnet,linear,B_minus_C,vz30799,12,0.98611111111111116,positive
birdnet,linear,B_minus_C,vz31403,12,0.67516897181962676,positive
birdnet,linear,B_minus_C,vz31410,12,0.98412698412698418,positive
birdnet,linear,B_minus_C,vz31466,12,0.88676749806780764,positive
birdnet,linear,B_minus_C,vz31728,12,0.35382519784148941,positive
birdnet,linear,B_minus_C,vz31742,12,0.81542661807567429,positive
birdnet,linear,B_minus_C,vz31749,12,0.7599698576700864,positive
birdnet,linear,B_minus_C,vz31866,12,0.49591699479857376,positive
birdnet,linear,B_minus_C,vz31906,12,0.25282064923604836,positive
birdnet,linear,B_minus_C,vz32978,12,0.79674456885667455,positive
birdnet,linear,B_minus_C,vz33158,12,0.80122611450010839,positive
birdnet,linear,B_minus_C,vz33280,12,0.64656153731287214,positive
birdnet,linear,B_minus_C,vz33342,12,0.65696182281579607,positive
birdnet,linear,B_minus_C,vz33544,12,0.14548101345860362,positive
birdnet,linear,B_minus_C,vz33661,12,0.98095238095238102,positive
birdnet,linear,B_minus_C,vz33688,12,0.4465312640743675,positive
birdnet,linear,B_minus_C,vz33691,12,0.48807673521295808,positive
birdnet,linear,B_minus_C,vz33700,12,0.86436514378767715,positive
birdnet,linear,B_minus_C,vz33851,12,0.94121936786410476,positive
birdnet,linear,B_minus_C,vz33887,12,0.81622711152509908,positive
birdnet,linear,B_minus_C,vz33890,12,0.81727189350187068,positive
birdnet,linear,B_minus_C,vz33899,12,0.74621206594843137,positive
birdnet,centroid,B_minus_A,pf71373,12,0.43224898600941719,positive
birdnet,centroid,B_minus_A,pf71395,12,0.88894755342123766,positive
birdnet,centroid,B_minus_A,pf71411,12,0.4734299516908213,positive
birdnet,centroid,B_minus_A,pf71904,12,0.56573090079282029,positive
birdnet,centroid,B_minus_A,pf71915,12,0.54473304473304474,positive
birdnet,centroid,B_minus_A,pf71937,12,0.56371366421676006,positive
birdnet,centroid,B_minus_A,pf72101,12,0.60429073744291129,positive
birdnet,centroid,B_minus_A,pf72506,12,0.49308266116841309,positive
birdnet,centroid,B_minus_A,pf72509,12,0.78891817166147493,positive
birdnet,centroid,B_minus_A,pf72510,12,0.53944080448953013,positive
birdnet,centroid,B_minus_A,pf72514,12,0.95576102641320038,positive
birdnet,centroid,B_minus_A,pf72561,12,1,positive
birdnet,centroid,B_minus_A,pf72730,12,0.5,positive
birdnet,centroid,B_minus_A,pf72757,12,0.66270372864470362,positive
birdnet,centroid,B_minus_A,te80906,12,0.75085562585562593,positive
birdnet,centroid,B_minus_A,te80930,12,-0.051981312604377626,negative
birdnet,centroid,B_minus_A,tj26850,12,0.47172647613824087,positive
birdnet,centroid,B_minus_A,tl38410,12,0.45452055948769793,positive
birdnet,centroid,B_minus_A,tl38650,12,0.58104400101085119,positive
birdnet,centroid,B_minus_A,tl38664,12,0.35639922587694833,positive
birdnet,centroid,B_minus_A,tr43216,12,0.55290826717723562,positive
birdnet,centroid,B_minus_A,tr43324,12,0.89445044157320375,positive
birdnet,centroid,B_minus_A,tr43332,12,0.40179483094242818,positive
birdnet,centroid,B_minus_A,tr43333,12,0.3596869316422846,positive
birdnet,centroid,B_minus_A,tr43342,12,0.24063709386206808,positive
birdnet,centroid,B_minus_A,ts47913,12,0.41559139666438766,positive
birdnet,centroid,B_minus_A,ts47968,12,0.63873642806086905,positive
birdnet,centroid,B_minus_A,tv26548,12,0.46188443679099661,positive
birdnet,centroid,B_minus_A,tv44361,12,0.28570852608444403,positive
birdnet,centroid,B_minus_A,tw41613,12,0.28195380399327769,positive
birdnet,centroid,B_minus_A,tw41667,12,0.63841406693907499,positive
birdnet,centroid,B_minus_A,tw41728,12,0.66215792005265672,positive
birdnet,centroid,B_minus_A,tw41833,12,0.84308174092256494,positive
birdnet,centroid,B_minus_A,tw41850,12,0.61623020863639033,positive
birdnet,centroid,B_minus_A,tw41881,12,0.32793859123473923,positive
