panel,pipeline,readout,hyperparameter,macro_f1_D,macro_f1_A,macro_f1_B,macro_f1_C,B_minus_C,B_minus_A
panel008,birdnet,knn,1,0.99245465689145,0.11149303314917593,0.9236020784135005,0.07824050158586972,0.8453615768276308,0.8121090452643246
panel008,birdnet,linear_frozen,1.0,0.9981261565127774,0.34293172363945235,0.9395634813298004,0.23894943256592666,0.7006140487638737,0.596631757690348
panel008,birdnet,mlp,0.01,0.9952607375135659,0.30529740712902376,0.9180013220068703,0.22766249223088791,0.6903388297759825,0.6127039148778466
panel009,birdnet,centroid_frozen,,0.7369396261508916,0.14723195622017554,0.6767101532338867,0.1505949304412604,0.5261152227926263,0.5294781970137112
panel009,birdnet,knn,1,0.9868922271817971,0.1182453698649356,0.9191987655297643,0.09828376220654594,0.8209150033232184,0.8009533956648287
panel009,birdnet,linear_frozen,1.0,0.995301195497949,0.29070198079939585,0.9461780776375939,0.24823534311372006,0.6979427345238738,0.6554760968381981
panel009,birdnet,mlp,0.01,0.9934678099951095,0.21727412338273525,0.9260545181184869,0.20499210696663,0.7210624111518569,0.7087803947357517
panel010,birdnet,centroid_frozen,,0.7548944755860911,0.15010235661120755,0.6484147358087224,0.10482308225737536,0.5435916535513471,0.4983123791975149
panel010,birdnet,knn,1,0.9935029908510951,0.13364432426169517,0.962813576722192,0.0675044537189058,0.8953091230032862,0.8291692524604969
panel010,birdnet,linear_frozen,100.0,0.9962381172415603,0.32739476714154486,0.9407818119370974,0.20628822622833298,0.7344935857087644,0.6133870447955525
panel010,birdnet,mlp,0.001,0.9943642737543378,0.27941682155538405,0.919272954430546,0.17864894085791777,0.7406240135726283,0.639856132875162
panel011,birdnet,centroid_frozen,,0.7859576350644131,0.18488397890161254,0.6844405258176184,0.1251000311698499,0.5593404946477685,0.4995565469160058
panel011,birdnet,knn,1,0.9924546568914497,0.13376272690598678,0.9186330314390594,0.09331171936556718,0.8253213120734922,0.7848703045330726
panel011,birdnet,linear_frozen,1.0,0.9990630782563886,0.35097856610967226,0.9269033243726381,0.24340052343678625,0.6835028009358519,0.5759247582629659
panel011,birdnet,mlp,0.01,0.9971892347691659,0.29856277633959855,0.9201730552659534,0.22912920791512315,0.6910438473508302,0.6216102789263549
panel012,birdnet,centroid_frozen,,0.800776942204328,0.16461456817628312,0.6919079952578139,0.15328734788794202,0.5386206473698718,0.5272934270815308
panel012,birdnet,knn,1,0.9877535100850399,0.10727359915528825,0.9247424295887442,0.07038695039344521,0.854355479195299,0.817468830433456
panel012,birdnet,linear_frozen,1.0,0.9943666160586967,0.296174710722524,0.9516162258602531,0.24981350403886152,0.7018027218213916,0.6554415151377291
panel012,birdnet,mlp,0.01,0.9943720814355345,0.25530871353694595,0.943543289293494,0.22806490803003251,0.7154783812634614,0.688234575756548
panel001,perch,centroid_frozen,,0.5882260469889351,0.06334791488454578,0.5105734154669878,0.047835319820128674,0.4627380956468591,0.447225500582442
panel001,perch,knn,1,0.9868158513224641,0.0924099629537044,0.8974217875193813,0.06328464116468899,0.8341371463546923,0.8050118245656769
panel001,perch,linear_frozen,1.0,0.9990630782563886,0.2230767135006257,0.9373245682571474,0.1493841549196783,0.7879404133374691,0.7142478547565216
panel001,perch,mlp,0.01,0.9981261565127771,0.1884866320321331,0.9439075828459188,0.14036270787974797,0.8035448749661709,0.7554209508137857
panel002,perch,centroid_frozen,,0.6879303618845636,0.05987180851966241,0.6047950651147378,0.05020648993507946,0.5545885751796583,0.5449232565950753
panel002,perch,knn,1,0.9791366612132165,0.08445519777997193,0.8942111217690968,0.06391926679213196,0.8302918549769648,0.8097559239891249
panel002,perch,linear_frozen,1.0,0.9913258613824281,0.2309286773532461,0.9485947620723812,0.19270169244549998,0.7558930696268813,0.7176660847191352
panel002,perch,mlp,0.01,0.9874210448238978,0.1869940054934386,0.9502381394199012,0.18337237371489157,0.7668657657050096,0.7632441339264626
panel003,perch,centroid_frozen,,0.7347904463586817,0.06137868619639981,0.6041030245267026,0.05068563806711732,0.5534173864595853,0.5427243383303028
panel003,perch,knn,1,0.9867761303570454,0.05602341978307033,0.910467834472015,0.038467177817891045,0.872000656654124,0.8544444146889446
panel003,perch,linear_frozen,10.0,0.9953153912819432,0.20291013864761503,0.948803350897586,0.13565606143341072,0.8131472894641754,0.7458932122499711
panel003,perch,mlp,0.01,0.9962523130255545,0.15332524433292583,0.9485646678830627,0.11968430574031194,0.8288803621427507,0.7952394235501369
panel004,perch,centroid_frozen,,0.6193674414867034,0.08174279456501311,0.5629203021463564,0.05032927518575453,0.5125910269606018,0.48117750758134326
panel004,perch,knn,1,0.9789698276706125,0.07063594839233268,0.9130954444968545,0.0473569594424749,0.8657384850543797,0.8424594961045219
panel004,perch,linear_frozen,1.0,0.9904424675018069,0.2233778713643032,0.9382709624771864,0.15873017149274715,0.7795407909844393,0.7148930911128832
panel004,perch,mlp,0.01,0.9901026993993054,0.1991664860304708,0.9392121048552715,0.1379556495536913,0.8012564553015802,0.7400456188248007
panel005,perch,centroid_frozen,,0.6917118215436777,0.062314329061529665,0.5876351299801025,0.04654561699001604,0.5410895129900865,0.5253208009185728
panel005,perch,knn,1,0.9762860931461377,0.06954872679796306,0.8857832209694325,0.05177689723861777,0.8340063237308147,0.8162344941714694
panel005,perch,linear_frozen,10.0,0.995301195497949,0.2166212841500172,0.944063235656298,0.14659263007665238,0.7974706055796457,0.7274419515062809
panel005,perch,mlp,0.001,0.9943238157699544,0.17107135318784894,0.9311294305953401,0.1125302603437137,0.8185991702516264,0.7600580774074912
panel006,perch,centroid_frozen,,0.6672799362226662,0.05597704631279168,0.5956892916722372,0.0548288010932321,0.5408604905790051,0.5397122453594455
panel006,perch,knn,1,0.9793881228257498,0.064866166238016,0.8997955721645279,0.053623030880043415,0.8461725412844845,0.8349294059265119
