pipeline,bird_id,mean_B_minus_C,n_config,mean_train_clips,train_song_types
perch,te80906,0.9840700235437078,12,284.4166666666667,2
perch,te80930,0.8248713719537517,12,140.91666666666666,6
perch,tj26850,0.8045451243391747,12,288.9166666666667,4
perch,tl38410,0.9891304347826088,12,231.25,3
perch,tl38650,0.856165306596341,12,309.5833333333333,4
perch,tl38664,0.7364815314405848,12,216.66666666666666,4
perch,tr43216,0.7547158626468313,12,103.5,4
perch,tr43324,0.9807692307692308,12,78.0,4
perch,tr43332,0.7624184298972292,12,151.91666666666666,3
perch,tr43333,0.6970333005086573,12,280.3333333333333,4
perch,tr43342,0.48232633464918634,12,239.5,3
perch,ts47913,0.9577308656256025,12,76.0,2
perch,ts47968,0.7803879186116028,12,145.25,3
perch,tv26548,0.8563159267359025,12,410.3333333333333,7
perch,tv44361,0.650379720864951,12,571.0833333333334,8
perch,tw41613,0.7924301083016084,12,259.9166666666667,6
perch,tw41667,0.9385715446022465,12,168.83333333333334,9
perch,tw41728,0.9738095238095239,12,102.5,3
perch,tw41833,0.996031746031746,12,84.5,3
perch,tw41850,0.8301335312919981,12,135.5,6
perch,tw41881,0.8506589734106896,12,189.66666666666666,4
perch,tw41893,0.7344459633933318,12,131.75,2
perch,ty68001,0.9261020197552706,12,124.33333333333333,4
perch,ty68090,0.8287876932743748,12,129.83333333333334,4
perch,ty68169,0.663564084263009,12,244.58333333333334,6
perch,ty68197,0.6059483465089873,12,149.25,4
perch,ty68250,0.9314466062654468,12,175.41666666666666,4
perch,ty68256,0.9367826875566813,12,197.0,3
perch,ty68266,0.8990667545015371,12,180.75,2
perch,ty68269,0.9547859547859548,12,147.66666666666666,2
perch,ty68288,0.736136220733744,12,201.66666666666666,4
perch,ty68290,0.9688109161793372,12,60.5,3
perch,ty68302,0.6475421631557534,12,398.0833333333333,8
perch,ty68314,0.36843118815101566,12,371.5833333333333,5
perch,ty68356,0.854995004995005,12,36.5,2
perch,ty68365,0.9501262626262625,12,131.33333333333334,2
perch,ty68368,0.4933906919104287,12,64.41666666666667,4
perch,ty68410,0.9688109161793372,12,47.5,4
perch,ty68701,0.5897272674911744,12,81.66666666666667,5
perch,ty68797,0.9475689288529577,12,214.08333333333334,2
perch,ty68817,0.28436155204731056,12,109.25,5
perch,ty69095,0.5710164835164836,12,55.0,1
perch,ty69215,0.4657465349414367,12,808.0833333333334,6
perch,ty69216,0.46290489014751895,12,359.5833333333333,6
perch,ty69429,0.6616659913873537,12,103.58333333333333,4
perch,ty69450,0.7804370337265074,12,401.3333333333333,6
perch,ty69456,0.7829533171471578,12,278.6666666666667,4
perch,ty69457,0.6892472543146484,12,330.75,5
perch,ty69479,0.6196888678248327,12,101.0,5
perch,ty69494,0.7457661734660332,12,120.0,4
perch,ty69500,0.8596267183109289,12,148.0,4
perch,ty70009,0.600469999270309,12,153.33333333333334,5
perch,ty70013,0.9573713323713323,12,343.9166666666667,3
perch,ty70023,0.7071345587290082,12,181.0,4
perch,ty70082,0.8976075828029022,12,148.0,3
perch,ty70093,0.622776806332206,12,181.75,3
perch,ty70118,0.8632759397465279,12,118.66666666666667,2
perch,ty70233,0.6399027217992735,12,113.75,3
perch,ty70249,0.48369624481088275,12,102.83333333333333,5
perch,ty70291,0.7892558104648769,12,323.5,3
perch,ty70575,0.8251183514341408,12,122.91666666666667,2
perch,ty70701,0.004385964912280706,12,354.25,5
perch,ty70791,0.6521989195057956,12,149.5,2
perch,ty70988,0.8265679034035901,12,190.16666666666666,5
perch,vb55885,0.9229246833413499,12,360.75,5
perch,vs83969,0.9271811063606731,12,103.08333333333333,3
perch,vs84180,0.5732311669811669,12,249.41666666666666,5
perch,vs84238,0.8468466724692326,12,260.9166666666667,9
perch,vs84262,0.8789737785733212,12,126.16666666666667,4
perch,vz29416,0.8505209994683677,12,350.25,4
perch,vz29510,0.9319896964633808,12,105.66666666666667,2
perch,vz30799,0.996031746031746,12,49.0,3
perch,vz31403,0.8644243913980757,12,264.1666666666667,6
perch,vz31410,0.9203457674231158,12,640.1666666666666,5
perch,vz31466,0.8995911495911496,12,38.5,2
perch,vz31728,0.5229253075939699,12,794.9166666666666,9
perch,vz31742,0.847029934176985,12,410.5,7
perch,vz31749,0.9824561403508771,12,89.33333333333333,4
perch,vz31866,0.6083727534075832,12,187.0,5
perch,vz31906,0.5690613668204304,12,38.333333333333336,3
perch,vz32978,0.7789862184599027,12,80.66666666666667,4
perch,vz33158,0.8300441506963244,12,173.0,3
perch,vz33280,0.7390030946065429,12,406.3333333333333,8
perch,vz33342,0.8687983225222314,12,254.58333333333334,5
perch,vz33544,0.46228884491268385,12,101.0,5
perch,vz33661,0.8956840630989239,12,160.08333333333334,3
perch,vz33688,0.5211332784862197,12,150.75,4
perch,vz33691,0.4741124146921249,12,99.83333333333333,2
perch,vz33700,0.9248265460030166,12,113.5,3
perch,vz33851,0.996031746031746,12,47.333333333333336,3
perch,vz33887,0.8522536209642971,12,110.75,5
perch,vz33890,0.7883881104275842,12,183.66666666666666,3
perch,vz33899,0.6439259402591446,12,241.58333333333334,3
