panel,pipeline,m_exposed,added_clips,selected_c,val_macro_f1,macro_f1_D,macro_f1_A,macro_f1_B,macro_f1_C,B_minus_C,B_minus_A
panel007,birdnet,0,0,10.0,,0.9981261565127771,0.317304086488458,0.9502361921286621,0.25419349495408106,0.696042697174581,0.6329321056402041
panel008,birdnet,1,107,10.0,0.9896086262706092,0.9981261565127771,0.6690915069860316,0.9372400976823153,0.5185232807620243,0.41871681692029106,0.2681485906962837
panel008,birdnet,2,213,100.0,0.9889439208211179,0.9962546553299136,0.8531381929295314,0.9160119476180051,0.6841789528067579,0.2318329948112472,0.06287375468847367
panel008,birdnet,5,523,10.0,0.9906159370612819,0.9981261565127771,0.9364188414863402,0.9422616131852353,0.7952146404662435,0.1470469727189918,0.005842771698895022
panel008,birdnet,10,1017,100.0,0.9915241384677083,0.9971892347691659,0.9623538347605308,0.9189450467384694,0.8609422727286731,0.058002774009796365,-0.043408788022061384
panel008,birdnet,20,1925,10.0,0.9928563046604018,0.9981261565127771,0.9734052386825115,0.9373095255809247,0.8885342978462201,0.04877522773470466,-0.03609571310158677
panel008,birdnet,0,0,1.0,,0.9981261565127774,0.34293172363945235,0.9395634813298004,0.23894943256592666,0.7006140487638737,0.596631757690348
panel009,birdnet,1,107,10.0,0.9882022289603603,0.9943642737543378,0.6875602864810685,0.9431166487511767,0.5263294469039421,0.4167872018472346,0.25555636227010825
panel009,birdnet,2,213,10.0,0.9892312555730216,0.9953011954979492,0.8406138225962054,0.9403916326815766,0.6539500339284305,0.286441598753146,0.09977781008537112
panel009,birdnet,5,526,1.0,0.9902886224694205,0.9952607375135659,0.9325547984628086,0.9346017837249473,0.7872511628781828,0.14735062084676454,0.0020469852621386453
panel009,birdnet,10,1024,10.0,0.9908521898905773,0.9943642737543378,0.9622310109736878,0.9349512671996085,0.8556099792355368,0.0793412879640717,-0.027279743774079268
panel009,birdnet,20,1974,10.0,0.9926860661376222,0.9953011954979492,0.9754751805877541,0.9379345801236272,0.8948314939584842,0.04310308616514302,-0.03754060046412688
panel009,birdnet,0,0,1.0,,0.995301195497949,0.29070198079939585,0.9461780776375939,0.24823534311372006,0.6979427345238738,0.6554760968381981
