panel,pipeline,m_swapped,added,removed,train_size,base_train_size,selected_c,val_macro_f1,macro_f1_D,macro_f1_A,macro_f1_B,macro_f1_C,B_minus_C,frozen_B_minus_C
panel006,perch,5,535,535,20475,20475,10.0,0.979350080616158,0.9895400495006988,0.8935906858284535,0.9291386145403869,0.7741976354989516,0.15494097904143533,0.7844313109952147
panel006,perch,20,2006,2001,20480,20475,10.0,0.9834472320922257,0.9895892378922385,0.9811273986311696,0.9175056497506219,0.9101834235439217,0.0073222262067002,0.7844313109952147
panel007,perch,5,517,517,22225,22225,1.0,0.9836741980582111,0.9961976592571773,0.8835693764569992,0.947216090124596,0.7701757797812536,0.17704031034334233,0.7860992454472
panel007,perch,20,1893,1892,22226,22225,1.0,0.9839970551989939,0.9914555412760854,0.9646607776999787,0.9380570640224963,0.885314909627516,0.05274215439498031,0.7860992454472
panel008,perch,5,523,523,21759,21759,1.0,0.9844757637237109,1.0,0.9025820935094316,0.9292389584750587,0.7687274297233436,0.16051152875171504,0.7745407563790387
panel008,perch,20,1925,1925,21759,21759,1.0,0.9864593455550434,0.9971892347691659,0.9733930716975188,0.9328100822790112,0.8931671538189566,0.03964292846005457,0.7745407563790387
panel009,perch,5,526,526,22364,22364,10.0,0.9822437583295285,0.9933868940263431,0.896777770448363,0.9393674615687237,0.748680604765056,0.1906868568036677,0.779844920644112
panel009,perch,20,1974,1969,22369,22364,10.0,0.9825615242565113,0.9914988547551263,0.9714515606112443,0.9371511823829843,0.8888361171245499,0.04831506525843443,0.779844920644112
panel010,perch,5,526,526,20832,20832,10.0,0.9836623840608137,0.9953153912819432,0.9099040391924554,0.9503567365724132,0.7484229481163927,0.2019337884560205,0.8074714465754039
panel010,perch,20,1990,1985,20837,20832,1.0,0.9859070202439847,0.9924499722827317,0.9830800534078796,0.9400038950901414,0.8721426580867607,0.06786123700338065,0.8074714465754039
panel011,perch,5,529,529,22319,22319,10.0,0.9851577667336195,0.9952630798179248,0.910214708872998,0.9380190721354988,0.7806569890561332,0.1573620830793656,0.7373590721564935
panel011,perch,20,2014,2013,22320,22319,1.0,0.9855021185993321,0.9951417851941563,0.9839939696309592,0.9343148705506755,0.915718518562769,0.018596351987906545,0.7373590721564935
panel012,perch,5,524,524,21625,21625,10.0,0.9819506064565138,0.9943784695383318,0.8673465687790358,0.9589513721131981,0.7719604998973204,0.18699087221587773,0.7760272005207751
panel012,perch,20,1907,1902,21630,21625,1.0,0.9818572432493482,0.988647631539909,0.9611757837083443,0.947197256703228,0.8861008382995341,0.06109641840369384,0.7760272005207751
