panel,pipeline,readout,contrast,endpoint_role,estimate,panel_ci_low_not_plotted,panel_ci_high_not_plotted,positive,config_mean,conditional_ci_low,conditional_ci_high,n_panels,n_birds,bootstrap_draws,conditioning,source_panel_csv_sha256,source_conditional_csv_sha256
panel012,perch,linear,B_minus_A,co_primary,0.77102518283386356,0.71824052762851132,0.82178402387869609,true,0.73451925076920366,0.69357312448671038,0.77420725699804094,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel001,perch,linear,B_minus_C,co_primary,0.78794041333746911,0.7365671065264946,0.83591951110422646,true,0.78164717680923745,0.7465379004158692,0.81471797812937796,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel002,perch,linear,B_minus_C,co_primary,0.75589306962688141,0.70428769771344291,0.80488791836182594,true,0.78164717680923745,0.7465379004158692,0.81471797812937796,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel003,perch,linear,B_minus_C,co_primary,0.81314728946417547,0.7644192850118795,0.85849194613787738,true,0.78164717680923745,0.7465379004158692,0.81471797812937796,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel004,perch,linear,B_minus_C,co_primary,0.77954079098443918,0.72884710445418233,0.82788900025616008,true,0.78164717680923745,0.7465379004158692,0.81471797812937796,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel005,perch,linear,B_minus_C,co_primary,0.79747060557964555,0.74811169943253941,0.84386692485986792,true,0.78164717680923745,0.7465379004158692,0.81471797812937796,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel006,perch,linear,B_minus_C,co_primary,0.78443131099521457,0.73488914731036303,0.83136657596120134,true,0.78164717680923745,0.7465379004158692,0.81471797812937796,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel007,perch,linear,B_minus_C,co_primary,0.78609924544719989,0.73315777513369995,0.83675212751295791,true,0.78164717680923745,0.7465379004158692,0.81471797812937796,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel008,perch,linear,B_minus_C,co_primary,0.77454075637903863,0.72760612313377437,0.8204141682596211,true,0.78164717680923745,0.7465379004158692,0.81471797812937796,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel009,perch,linear,B_minus_C,co_primary,0.77984492064411226,0.72906547428986601,0.82815389689470698,true,0.78164717680923745,0.7465379004158692,0.81471797812937796,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
